  UID   PID  PPID   C STIME   TTY           TIME CMD
  501   396     1   0  9:11PM ??         0:03.43 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  501   402     1   0  9:11PM ??         0:05.58 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  501   403     1   0  9:11PM ??         0:14.43 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  501   406     1   0  9:11PM ??         0:10.18 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  501   410     1   0  9:11PM ??         0:16.13 /usr/libexec/pkd
  501   411     1   0  9:11PM ??         0:01.31 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  501   412     1   0  9:11PM ??         1:52.30 /Applications/网易有道词典.app/Contents/MacOS/网易有道词典
  501   415     1   0  9:11PM ??         0:11.27 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
  501   416     1   0  9:11PM ??         0:00.80 /usr/libexec/pboard
  501   418     1   0  9:11PM ??         0:11.72 /System/Applications/Mail.app/Contents/MacOS/Mail
  501   421     1   0  9:11PM ??         0:14.78 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
  501   428     1   0  9:11PM ??         0:55.82 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  501   429     1   0  9:11PM ??         0:14.55 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  501   431     1   0  9:11PM ??         0:01.34 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  501   432     1   0  9:11PM ??         1:06.89 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
    0   436     1   0  9:11PM ??         0:01.04 /usr/sbin/filecoordinationd
  501   437     1   0  9:11PM ??         0:01.02 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  501   447     1   0  9:11PM ??         0:06.59 /Library/Apple/System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.History.xpc/Contents/MacOS/com.apple.Safari.History
  501   457     1   0  9:11PM ??         0:00.21 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  501   458     1   0  9:11PM ??         0:11.17 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  501   463     1   0  9:11PM ??         0:00.30 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  501   465     1   0  9:11PM ??         0:28.04 /usr/libexec/sharingd
  501   466     1   0  9:11PM ??         0:01.28 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
    0   467     1   0  9:11PM ??         0:00.07 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  501   473     1   0  9:11PM ??         3:56.72 /Library/Apple/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
  501   474     1   0  9:11PM ??         0:05.48 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
  501   475     1   0  9:11PM ??         0:01.06 /Applications/UnzipOne.app/Contents/PlugIns/FinderExtension.appex/Contents/MacOS/FinderExtension
  501   477     1   0  9:11PM ??         0:06.23 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  501   478     1   0  9:11PM ??         0:00.89 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  501   481     1   0  9:11PM ??         0:01.12 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
    0   487     1   0  9:11PM ??         0:00.16 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  501   490     1   0  9:11PM ??         0:01.24 /usr/libexec/fmfd
  247   497     1   0  9:11PM ??         1:42.26 /usr/libexec/gamecontrollerd
  501   501     1   0  9:11PM ??         0:00.07 /usr/libexec/spindump_agent
  501   507     1   0  9:11PM ??         0:02.57 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
  501   510     1   0  9:11PM ??         0:02.46 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  501   511     1   0  9:11PM ??         0:00.46 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  501   514     1   0  9:11PM ??         0:01.59 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  501   515     1   0  9:11PM ??         0:02.81 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
  501   517     1   0  9:11PM ??         0:07.58 /System/Library/Input Methods/EmojiFunctionRowIM.app/Contents/PlugIns/EmojiFunctionRowIM_Extension.appex/Contents/MacOS/EmojiFunctionRowIM_Extension
  501   519     1   0  9:11PM ??         0:01.45 /Applications/Safari.app/Contents/XPCServices/com.apple.Safari.SandboxBroker.xpc/Contents/MacOS/com.apple.Safari.SandboxBroker
  501   529     1   0  9:11PM ??         0:36.88 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
  501   530     1   0  9:11PM ??         0:01.04 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
